"","material","experiment_type","total_volume"
"1","glass","Follow-up experiment",167
"2","glass","New experiment",406
"3","glass","Routine experiment",50
"4","latex","Follow-up experiment",238
"5","latex","New experiment",221
"6","latex","Routine experiment",187
"7","polyethylene","Follow-up experiment",103
"8","polyethylene","New experiment",103
"9","polyethylene","Routine experiment",33
"10","polypropylene","Follow-up experiment",396
"11","polypropylene","New experiment",448
"12","polypropylene","Routine experiment",184
"13","polystyrene","Follow-up experiment",280
"14","polystyrene","New experiment",360
"15","polystyrene","Routine experiment",80
