"","id","gender","position","support_opinion","experiment_type","tool_used","material","quantity","volume","total_volume"
"1",1,"Woman","Doctorate","Maybe","New experiment","Pairs of Gloves","latex",3,17,51
"2",1,"Woman","Doctorate","Maybe","New experiment","Serological Pipettes (5ml)","glass",0,5,0
"3",1,"Woman","Doctorate","Maybe","New experiment","Serological Pipettes (10ml)","glass",0,10,0
"4",1,"Woman","Doctorate","Maybe","New experiment","Serological Pipettes (25ml)","glass",0,25,0
"5",1,"Woman","Doctorate","Maybe","New experiment","Serological Pipettes (50ml)","glass",0,50,0
"6",1,"Woman","Doctorate","Maybe","New experiment","Pipette Tips","polyethylene",50,1,50
"7",1,"Woman","Doctorate","Maybe","New experiment","Glass Tips","glass",5,3,15
"8",1,"Woman","Doctorate","Maybe","New experiment","Flasks","polystyrene",2,40,80
"9",1,"Woman","Doctorate","Maybe","New experiment","Falcon Tubes","polypropylene",5,30,150
"10",1,"Woman","Doctorate","Maybe","New experiment","Eppendorf Tubes","polypropylene",5,2,10
"11",2,"Woman","Post-doc","Yes","New experiment","Pairs of Gloves","latex",5,17,85
"12",2,"Woman","Post-doc","Yes","New experiment","Serological Pipettes (5ml)","glass",0,5,0
"13",2,"Woman","Post-doc","Yes","New experiment","Serological Pipettes (10ml)","glass",15,10,150
"14",2,"Woman","Post-doc","Yes","New experiment","Serological Pipettes (25ml)","glass",5,25,125
"15",2,"Woman","Post-doc","Yes","New experiment","Serological Pipettes (50ml)","glass",0,50,0
"16",2,"Woman","Post-doc","Yes","New experiment","Pipette Tips","polyethylene",25,1,25
"17",2,"Woman","Post-doc","Yes","New experiment","Glass Tips","glass",5,3,15
"18",2,"Woman","Post-doc","Yes","New experiment","Flasks","polystyrene",5,40,200
"19",2,"Woman","Post-doc","Yes","New experiment","Falcon Tubes","polypropylene",5,30,150
"20",2,"Woman","Post-doc","Yes","New experiment","Eppendorf Tubes","polypropylene",2,2,4
"21",3,"Man","Master's Thesis","Maybe","New experiment","Pairs of Gloves","latex",3,17,51
"22",3,"Man","Master's Thesis","Maybe","New experiment","Serological Pipettes (5ml)","glass",2,5,10
"23",3,"Man","Master's Thesis","Maybe","New experiment","Serological Pipettes (10ml)","glass",1,10,10
"24",3,"Man","Master's Thesis","Maybe","New experiment","Serological Pipettes (25ml)","glass",1,25,25
"25",3,"Man","Master's Thesis","Maybe","New experiment","Serological Pipettes (50ml)","glass",1,50,50
"26",3,"Man","Master's Thesis","Maybe","New experiment","Pipette Tips","polyethylene",16,1,16
"27",3,"Man","Master's Thesis","Maybe","New experiment","Glass Tips","glass",2,3,6
"28",3,"Man","Master's Thesis","Maybe","New experiment","Flasks","polystyrene",1,40,40
"29",3,"Man","Master's Thesis","Maybe","New experiment","Falcon Tubes","polypropylene",3,30,90
"30",3,"Man","Master's Thesis","Maybe","New experiment","Eppendorf Tubes","polypropylene",3,2,6
"31",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Pairs of Gloves","latex",6,17,102
"32",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (5ml)","glass",2,5,10
"33",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (10ml)","glass",1,10,10
"34",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (25ml)","glass",0,25,0
"35",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (50ml)","glass",0,50,0
"36",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Pipette Tips","polyethylene",35,1,35
"37",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Glass Tips","glass",4,3,12
"38",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Flasks","polystyrene",3,40,120
"39",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Falcon Tubes","polypropylene",4,30,120
"40",4,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Eppendorf Tubes","polypropylene",12,2,24
"41",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Pairs of Gloves","latex",3,17,51
"42",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (5ml)","glass",4,5,20
"43",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (10ml)","glass",2,10,20
"44",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (25ml)","glass",1,25,25
"45",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Serological Pipettes (50ml)","glass",0,50,0
"46",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Pipette Tips","polyethylene",20,1,20
"47",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Glass Tips","glass",3,3,9
"48",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Flasks","polystyrene",3,40,120
"49",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Falcon Tubes","polypropylene",2,30,60
"50",5,"Man","Bachelor's Thesis","Yes","Follow-up experiment","Eppendorf Tubes","polypropylene",2,2,4
"51",6,"Woman","Master's Semester Project","Yes","Routine experiment","Pairs of Gloves","latex",1,17,17
"52",6,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (5ml)","glass",2,5,10
"53",6,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (10ml)","glass",0,10,0
"54",6,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (25ml)","glass",0,25,0
"55",6,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (50ml)","glass",0,50,0
"56",6,"Woman","Master's Semester Project","Yes","Routine experiment","Pipette Tips","polyethylene",7,1,7
"57",6,"Woman","Master's Semester Project","Yes","Routine experiment","Glass Tips","glass",1,3,3
"58",6,"Woman","Master's Semester Project","Yes","Routine experiment","Flasks","polystyrene",1,40,40
"59",6,"Woman","Master's Semester Project","Yes","Routine experiment","Falcon Tubes","polypropylene",3,30,90
"60",6,"Woman","Master's Semester Project","Yes","Routine experiment","Eppendorf Tubes","polypropylene",1,2,2
"61",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Pairs of Gloves","latex",2,17,34
"62",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Serological Pipettes (5ml)","glass",0,5,0
"63",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Serological Pipettes (10ml)","glass",0,10,0
"64",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Serological Pipettes (25ml)","glass",0,25,0
"65",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Serological Pipettes (50ml)","glass",0,50,0
"66",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Pipette Tips","polyethylene",35,1,35
"67",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Glass Tips","glass",6,3,18
"68",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Flasks","polystyrene",0,40,0
"69",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Falcon Tubes","polypropylene",4,30,120
"70",7,"Woman","Master's Semester Project","Yes","Follow-up experiment","Eppendorf Tubes","polypropylene",4,2,8
"71",8,"Woman","Master's Semester Project","Yes","Routine experiment","Pairs of Gloves","latex",1,17,17
"72",8,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (5ml)","glass",1,5,5
"73",8,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (10ml)","glass",0,10,0
"74",8,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (25ml)","glass",0,25,0
"75",8,"Woman","Master's Semester Project","Yes","Routine experiment","Serological Pipettes (50ml)","glass",0,50,0
"76",8,"Woman","Master's Semester Project","Yes","Routine experiment","Pipette Tips","polyethylene",0,1,0
"77",8,"Woman","Master's Semester Project","Yes","Routine experiment","Glass Tips","glass",1,3,3
"78",8,"Woman","Master's Semester Project","Yes","Routine experiment","Flasks","polystyrene",0,40,0
"79",8,"Woman","Master's Semester Project","Yes","Routine experiment","Falcon Tubes","polypropylene",0,30,0
"80",8,"Woman","Master's Semester Project","Yes","Routine experiment","Eppendorf Tubes","polypropylene",0,2,0
"81",9,"Woman","Bachelor's Thesis","Maybe","Routine experiment","Pairs of Gloves","latex",1,17,17
"82",9,"Woman","Bachelor's Thesis","Maybe","Routine experiment","Serological Pipettes (5ml)","glass",0,5,0
"83",9,"Woman","Bachelor's Thesis","Maybe","Routine experiment","Serological Pipettes (10ml)","glass",0,10,0
